date,BANDHAN ,Edelweiss ,Taurus ,HDFC ,DSP ,Union ,BANK OF INDIA ,Aditya Birla Sun Life ,SBI LONG TERM EQUITY FUND ,LIC MF ,Invesco India ,JM ,Axis ,ICICI Prudential ,UTI ,quant ,Tata ,Motilal Oswal ,PGIM India ,Navi ,Mirae Asset ,Mahindra Manulife ,Groww ,Parag Parikh ,ITI ,Sundaram ,BARODA BNP PARIBAS ,Samco ,HSBC ,HSBC ,Zerodha 
2013-01-01,,,,246.413,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,22.3775,,39.04,248.167,19.23,13.24,23.5,12.04,67.87,30.1841,19.8,7.221,15.0253,159.74,42.48,,,,,,,,,,,,,,,,
2013-01-03,22.559,,39.24,248.809,19.261,13.29,23.48,12.04,68.06,30.2984,19.86,7.2247,15.0737,160.9,42.54,,,,,,,,,,,,,,,,
2013-01-04,22.6861,,39.18,249.259,19.286,13.34,23.48,12.07,68.14,30.3444,19.98,7.2237,15.0702,161.88,42.68,,,,,,,,,,,,,,,,
2013-01-07,22.6055,,39.0,249.252,19.268,13.33,23.35,12.02,67.82,30.233,19.96,7.1946,15.0913,161.95,42.57,39.1519,,,,,,,,,,,,,,,
2013-01-08,22.734,,38.98,248.904,19.274,13.34,23.49,12.02,67.91,30.3044,19.96,7.1689,15.1146,162.05,42.66,38.9928,,,,,,,,,,,,,,,
2013-01-09,22.7139,,38.96,248.761,19.246,13.33,23.43,11.99,67.72,30.2384,19.9,7.122,15.0517,161.96,42.42,39.1599,,,,,,,,,,,,,,,
2013-01-10,22.7507,,38.99,248.237,19.236,13.32,23.4,12.0,67.6,30.2533,19.91,7.1103,15.0619,161.4,42.3,39.0541,,,,,,,,,,,,,,,
2013-01-11,22.4778,,38.71,247.737,19.111,13.23,23.24,11.88,67.09,30.2668,19.8,7.0133,14.8886,161.34,42.12,38.5358,,,,,,,,,,,,,,,
2013-01-14,22.7422,,39.19,250.415,19.306,13.36,23.43,12.01,67.83,30.6626,19.93,7.0535,14.9767,162.71,42.55,38.892,,,,,,,,,,,,,,,
2013-01-15,22.8809,,39.41,251.795,19.376,13.43,23.56,12.04,68.09,30.8095,20.09,7.0912,14.9813,163.02,42.71,38.8647,,,,,,,,,,,,,,,
2013-01-16,22.7109,,38.85,248.842,19.099,13.34,23.26,11.89,67.44,30.4958,20.0,6.9902,14.8752,161.82,42.36,38.5579,,,,,,,,,,,,,,,
2013-01-17,22.868,,39.1,250.314,19.184,13.39,23.34,11.94,67.86,30.6766,20.06,6.9884,14.8214,162.49,42.57,38.6095,,,,,,,,,,,,,,,
2013-01-18,22.8594,,39.36,251.635,19.248,13.38,23.37,11.92,68.17,30.7713,20.14,6.9811,14.7954,162.67,42.68,38.4567,,,,,,,,,,,,,,,
2013-01-21,22.9004,,39.52,252.298,19.258,13.39,23.42,11.95,68.32,30.8478,20.16,6.9632,14.7538,162.65,42.73,38.5498,,,,,,,,,,,,,,,
